question_id,db_id,sql,difficulty,runtime_s,n_tokens,query_length,n_joins,n_tables_approx,n_where_predicates,has_group_by,has_order_by,has_having,has_distinct,has_limit,has_union,n_subqueries,has_subquery,max_nesting_depth,n_count,n_sum,n_avg,n_max,n_min,n_aggregations,has_between,has_in_clause,has_like,has_exists,has_correlated_subquery,label,label_binary
1476,debit_card_specializing,"SELECT
  SUM(CASE WHEN T1.Currency = 'CZK' THEN T2.Consumption ELSE 0 END) - SUM(CASE WHEN T1.Currency = 'EUR' THEN T2.Consumption ELSE 0 END)
FROM customers AS T1
INNER JOIN yearmonth AS T2
  ON T1.CustomerID = T2.CustomerID
WHERE
  SUBSTR(T2.Date, 1, 4) = '2012'",challenging,0.07588420002139173,41,264,1,2,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,slow,1
1479,debit_card_specializing,"SELECT
  SUBSTR(T2.Date, 1, 4)
FROM customers AS T1
INNER JOIN yearmonth AS T2
  ON T1.CustomerID = T2.CustomerID
WHERE
  T1.Currency = 'CZK'
GROUP BY
  SUBSTR(T2.Date, 1, 4)
ORDER BY
  SUM(T2.Consumption) DESC
LIMIT 1",moderate,0.19756689999485388,32,218,1,2,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,slow,1
1480,debit_card_specializing,"SELECT
  SUBSTR(T2.Date, 5, 2)
FROM customers AS T1
INNER JOIN yearmonth AS T2
  ON T1.CustomerID = T2.CustomerID
WHERE
  SUBSTR(T2.Date, 1, 4) = '2013' AND T1.Segment = 'SME'
GROUP BY
  SUBSTR(T2.Date, 5, 2)
ORDER BY
  SUM(T2.Consumption) DESC
LIMIT 1",moderate,0.1436561000009533,38,252,1,2,2,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,slow,1
1481,debit_card_specializing,"SELECT
  CAST(SUM(CASE WHEN T1.Segment = 'SME' THEN T2.Consumption ELSE 0 END) AS DOUBLE) / COUNT(T1.CustomerID) - CAST(SUM(CASE WHEN T1.Segment = 'LAM' THEN T2.Consumption ELSE 0 END) AS DOUBLE) / COUNT(T1.CustomerID),
  CAST(SUM(CASE WHEN T1.Segment = 'LAM' THEN T2.Consumption ELSE 0 END) AS DOUBLE) / COUNT(T1.CustomerID) - CAST(SUM(CASE WHEN T1.Segment = 'KAM' THEN T2.Consumption ELSE 0 END) AS DOUBLE) / COUNT(T1.CustomerID),
  CAST(SUM(CASE WHEN T1.Segment = 'KAM' THEN T2.Consumption ELSE 0 END) AS DOUBLE) / COUNT(T1.CustomerID) - CAST(SUM(CASE WHEN T1.Segment = 'SME' THEN T2.Consumption ELSE 0 END) AS DOUBLE) / COUNT(T1.CustomerID)
FROM customers AS T1
INNER JOIN yearmonth AS T2
  ON T1.CustomerID = T2.CustomerID
WHERE
  T1.Currency = 'CZK'
  AND T2.Consumption = (
    SELECT
      MIN(Consumption)
    FROM yearmonth
  )
  AND T2.Date BETWEEN 201301 AND 201312",challenging,0.22522089999984019,120,877,1,2,4,0,0,0,0,0,0,1,1,2,6,6,0,0,1,13,1,0,0,0,0,slow,1
1482,debit_card_specializing,"SELECT
  CAST((
    SUM(
      CASE
        WHEN T1.Segment = 'SME' AND T2.Date LIKE '2013%'
        THEN T2.Consumption
        ELSE 0
      END
    ) - SUM(
      CASE
        WHEN T1.Segment = 'SME' AND T2.Date LIKE '2012%'
        THEN T2.Consumption
        ELSE 0
      END
    )
  ) AS DOUBLE) * 100 / SUM(
    CASE
      WHEN T1.Segment = 'SME' AND T2.Date LIKE '2012%'
      THEN T2.Consumption
      ELSE 0
    END
  ),
  CAST(SUM(
    CASE
      WHEN T1.Segment = 'LAM' AND T2.Date LIKE '2013%'
      THEN T2.Consumption
      ELSE 0
    END
  ) - SUM(
    CASE
      WHEN T1.Segment = 'LAM' AND T2.Date LIKE '2012%'
      THEN T2.Consumption
      ELSE 0
    END
  ) AS DOUBLE) * 100 / SUM(
    CASE
      WHEN T1.Segment = 'LAM' AND T2.Date LIKE '2012%'
      THEN T2.Consumption
      ELSE 0
    END
  ),
  CAST(SUM(
    CASE
      WHEN T1.Segment = 'KAM' AND T2.Date LIKE '2013%'
      THEN T2.Consumption
      ELSE 0
    END
  ) - SUM(
    CASE
      WHEN T1.Segment = 'KAM' AND T2.Date LIKE '2012%'
      THEN T2.Consumption
      ELSE 0
    END
  ) AS DOUBLE) * 100 / SUM(
    CASE
      WHEN T1.Segment = 'KAM' AND T2.Date LIKE '2012%'
      THEN T2.Consumption
      ELSE 0
    END
  )
FROM customers AS T1
INNER JOIN yearmonth AS T2
  ON T1.CustomerID = T2.CustomerID",challenging,0.17620929999975488,178,1289,1,2,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,9,0,0,1,0,0,slow,1
1484,debit_card_specializing,"SELECT
  SUM(CASE WHEN Country = 'CZE' THEN 1 ELSE 0 END) - SUM(CASE WHEN Country = 'SVK' THEN 1 ELSE 0 END)
FROM gasstations
WHERE
  Segment = 'Discount'",simple,0.00044850000995211303,28,154,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,fast,0
1498,debit_card_specializing,"SELECT
  SUM(Consumption)
FROM yearmonth
WHERE
  SUBSTR(Date, 1, 4) = '2012'
GROUP BY
  SUBSTR(Date, 5, 2)
ORDER BY
  SUM(Consumption) DESC
LIMIT 1",simple,0.10680740000680089,21,147,0,1,1,1,1,0,0,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,slow,1
1501,debit_card_specializing,"SELECT DISTINCT
  T2.Country
FROM transactions_1k AS T1
INNER JOIN gasstations AS T2
  ON T1.GasStationID = T2.GasStationID
INNER JOIN yearmonth AS T3
  ON T1.CustomerID = T3.CustomerID
WHERE
  T3.Date = '201306'",moderate,0.002180800016503781,29,212,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fast,0
1506,debit_card_specializing,"SELECT DISTINCT
  T3.Description
FROM transactions_1k AS T1
INNER JOIN gasstations AS T2
  ON T1.GasStationID = T2.GasStationID
INNER JOIN products AS T3
  ON T1.ProductID = T3.ProductID
WHERE
  T2.Country = 'CZE'",moderate,0.0005068999889772385,29,213,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fast,0
1507,debit_card_specializing,"SELECT DISTINCT
  T1.Time
FROM transactions_1k AS T1
INNER JOIN gasstations AS T2
  ON T1.GasStationID = T2.GasStationID
WHERE
  T2.ChainID = 11",simple,0.00031040000612847507,20,144,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fast,0
