model,fold,train_f1,test_f1,test_accuracy,test_precision,test_recall,test_roc_auc,fit_time_s,score_time_s
Gradient Boosting,1,0.9834254143646409,0.47368421052631576,0.6774193548387096,0.6428571428571429,0.375,0.5970394736842105,0.745211124420166,0.040309906005859375
Gradient Boosting,2,0.9891304347826086,0.5106382978723404,0.6290322580645161,0.5,0.5217391304347826,0.6488294314381271,1.2102668285369873,0.0381927490234375
Gradient Boosting,3,0.9782608695652174,0.4888888888888889,0.6290322580645161,0.5,0.4782608695652174,0.5763656633221851,0.8002715110778809,0.036005496978759766
Gradient Boosting,4,0.9378531073446328,0.45,0.6451612903225806,0.5294117647058824,0.391304347826087,0.6588628762541806,0.6736593246459961,0.03483390808105469
Gradient Boosting,5,0.9723756906077348,0.47619047619047616,0.6451612903225806,0.5263157894736842,0.43478260869565216,0.7028985507246377,1.3193092346191406,0.19600892066955566
Logistic Regression,1,0.3458646616541353,0.3888888888888889,0.6451612903225806,0.5833333333333334,0.2916666666666667,0.5822368421052632,0.029973268508911133,0.024067163467407227
Logistic Regression,2,0.425531914893617,0.34285714285714286,0.6290322580645161,0.5,0.2608695652173913,0.653288740245262,0.026627063751220703,0.022586584091186523
Logistic Regression,3,0.42857142857142855,0.2777777777777778,0.5806451612903226,0.38461538461538464,0.21739130434782608,0.5161649944258639,0.02389836311340332,0.023549795150756836
Logistic Regression,4,0.45255474452554745,0.29411764705882354,0.6129032258064516,0.45454545454545453,0.21739130434782608,0.49944258639910816,0.02594590187072754,0.022411823272705078
Logistic Regression,5,0.36496350364963503,0.4,0.6612903225806451,0.5833333333333334,0.30434782608695654,0.6767001114827202,0.022696733474731445,0.021913528442382812
Random Forest,1,1.0,0.5,0.6451612903225806,0.55,0.4583333333333333,0.7039473684210525,0.7671468257904053,0.31397485733032227
Random Forest,2,1.0,0.4782608695652174,0.6129032258064516,0.4782608695652174,0.4782608695652174,0.620958751393534,0.8706285953521729,0.29675745964050293
Random Forest,3,1.0,0.5,0.6774193548387096,0.5882352941176471,0.43478260869565216,0.5936454849498327,0.900547981262207,0.34754133224487305
Random Forest,4,1.0,0.43478260869565216,0.5806451612903226,0.43478260869565216,0.43478260869565216,0.6337792642140468,1.429919958114624,0.31713390350341797
Random Forest,5,1.0,0.6956521739130435,0.7741935483870968,0.6956521739130435,0.6956521739130435,0.7435897435897436,1.8291957378387451,0.305633544921875
XGBoost,1,0.994535519125683,0.5531914893617021,0.6612903225806451,0.5652173913043478,0.5416666666666666,,2.7906906604766846,0.11638617515563965
XGBoost,2,1.0,0.45454545454545453,0.6129032258064516,0.47619047619047616,0.43478260869565216,,0.7681753635406494,0.02415156364440918
XGBoost,3,1.0,0.5116279069767442,0.6612903225806451,0.55,0.4782608695652174,,0.28003835678100586,0.02683115005493164
XGBoost,4,0.9945945945945946,0.4888888888888889,0.6290322580645161,0.5,0.4782608695652174,,0.25673508644104004,0.027822494506835938
XGBoost,5,0.989247311827957,0.5333333333333333,0.6612903225806451,0.5454545454545454,0.5217391304347826,,0.2975928783416748,0.03365731239318848
