feature,importance
has_limit,0.0873665
max_nesting_depth,0.08475282
n_subqueries,0.075926624
n_sum,0.073828906
n_joins,0.071031205
has_group_by,0.06767579
n_max,0.06516866
n_count,0.059291467
n_avg,0.05758638
has_between,0.04551447
n_tokens,0.044641085
n_aggregations,0.043024465
has_distinct,0.04012714
query_length,0.038853705
has_in_clause,0.036293563
has_order_by,0.035330944
has_like,0.03371621
n_where_predicates,0.026015043
has_correlated_subquery,0.013855044
has_having,0.0
n_tables_approx,0.0
has_union,0.0
has_subquery,0.0
n_min,0.0
has_exists,0.0
