db_id,n,n_train,n_test,slow_pct,total_rows,max_table_rows,index_coverage,model,mae_log,r2_log,mae_s,r2_s
card_games,46,36,10,84,803451,427907,0.2857142857142857,Ridge(a=1),1.6511,-1.0816,0.393385,-2.8924
card_games,46,36,10,84,803451,427907,0.2857142857142857,Ridge(a=10),1.5712,-0.8474,0.477864,-5.0877
card_games,46,36,10,84,803451,427907,0.2857142857142857,Lasso,1.7233,-0.9438,0.566693,-11.4777
card_games,46,36,10,84,803451,427907,0.2857142857142857,RF,0.9658,0.1889,0.209816,-0.014
card_games,46,36,10,84,803451,427907,0.2857142857142857,GBM,2.0046,-1.3769,1.693237,-72.4754
codebase_community,37,29,8,91,740646,303155,0.375,Ridge(a=1),3.2544,-28.2688,1.587499,-5.4898
codebase_community,37,29,8,91,740646,303155,0.375,Ridge(a=10),1.5987,-5.9499,0.761348,-0.575
codebase_community,37,29,8,91,740646,303155,0.375,Lasso,4.24,-45.4088,4.050328,-70.4681
codebase_community,37,29,8,91,740646,303155,0.375,RF,1.2176,-9.0847,0.479709,0.3948
codebase_community,37,29,8,91,740646,303155,0.375,GBM,1.1477,-9.4158,0.419883,0.4021
debit_card_specializing,20,16,4,35,423051,383282,0.6666666666666666,Ridge(a=1),2.5601,0.229,0.24964,0.0842
debit_card_specializing,20,16,4,35,423051,383282,0.6666666666666666,Ridge(a=10),2.6421,0.2777,0.275529,-0.1821
debit_card_specializing,20,16,4,35,423051,383282,0.6666666666666666,Lasso,3.0987,-0.0548,0.247755,0.081
debit_card_specializing,20,16,4,35,423051,383282,0.6666666666666666,RF,3.1836,-0.0005,0.271339,-0.1207
debit_card_specializing,20,16,4,35,423051,383282,0.6666666666666666,GBM,2.696,0.0542,0.208819,0.3935
european_football_2,41,32,9,80,222803,183978,0.625,Ridge(a=1),2.5288,-0.8678,0.403602,-4.5849
european_football_2,41,32,9,80,222803,183978,0.625,Ridge(a=10),2.2504,-0.6733,0.324076,-3.8864
european_football_2,41,32,9,80,222803,183978,0.625,Lasso,2.5542,-0.8544,0.45699,-6.5035
european_football_2,41,32,9,80,222803,183978,0.625,RF,2.4294,-1.0309,0.381038,-4.0927
european_football_2,41,32,9,80,222803,183978,0.625,GBM,2.7409,-1.4622,0.677737,-21.62
financial,30,24,6,13,1079680,1056320,0.0,Ridge(a=1),2.9605,-0.4132,0.513046,-0.1968
financial,30,24,6,13,1079680,1056320,0.0,Ridge(a=10),2.2805,-0.2177,0.512026,-0.1995
financial,30,24,6,13,1079680,1056320,0.0,Lasso,3.5007,-0.9676,0.51128,-0.174
financial,30,24,6,13,1079680,1056320,0.0,RF,2.097,0.0247,0.512498,-0.197
financial,30,24,6,13,1079680,1056320,0.0,GBM,3.0035,-0.4802,0.535706,-0.0704
formula_1,34,27,7,14,493267,400524,0.5,Ridge(a=1),1.3394,0.4253,0.042337,-0.0668
formula_1,34,27,7,14,493267,400524,0.5,Ridge(a=10),0.9596,0.4962,0.042745,-0.125
formula_1,34,27,7,14,493267,400524,0.5,Lasso,1.3629,0.4406,0.028086,0.583
formula_1,34,27,7,14,493267,400524,0.5,RF,1.1904,0.6597,0.037883,0.1245
formula_1,34,27,7,14,493267,400524,0.5,GBM,1.0863,0.7197,0.032734,0.3487
student_club,47,37,10,0,42511,41877,0.875,Ridge(a=1),0.2732,0.6307,5.7e-05,0.5739
student_club,47,37,10,0,42511,41877,0.875,Ridge(a=10),0.2522,0.5527,5.6e-05,0.2781
student_club,47,37,10,0,42511,41877,0.875,Lasso,0.2534,0.5516,5.7e-05,0.2645
student_club,47,37,10,0,42511,41877,0.875,RF,0.392,-0.1224,8.2e-05,-0.3279
student_club,47,37,10,0,42511,41877,0.875,GBM,0.5502,-0.7396,0.000125,-1.192
superhero,52,41,11,3,10614,5825,0.0,Ridge(a=1),0.5648,0.308,0.000727,0.0351
superhero,52,41,11,3,10614,5825,0.0,Ridge(a=10),0.6292,0.166,0.000754,0.0032
superhero,52,41,11,3,10614,5825,0.0,Lasso,0.5402,0.3008,0.000736,-0.0501
superhero,52,41,11,3,10614,5825,0.0,RF,0.5317,0.1886,0.000726,-0.0612
superhero,52,41,11,3,10614,5825,0.0,GBM,0.4857,0.3756,0.000624,0.2256
thrombosis_prediction,38,30,8,0,15252,13908,0.3333333333333333,Ridge(a=1),1.8349,-1.685,0.0021,-0.659
thrombosis_prediction,38,30,8,0,15252,13908,0.3333333333333333,Ridge(a=10),1.584,-0.7107,0.002268,-1.0209
thrombosis_prediction,38,30,8,0,15252,13908,0.3333333333333333,Lasso,1.8981,-1.9894,0.002095,-0.6416
thrombosis_prediction,38,30,8,0,15252,13908,0.3333333333333333,RF,1.7063,-1.1654,0.00255,-1.2635
thrombosis_prediction,38,30,8,0,15252,13908,0.3333333333333333,GBM,1.8686,-1.8448,0.002517,-1.5738
toxicology,26,20,6,3,36922,18312,1.0,Ridge(a=1),1.9913,-0.2368,0.118518,-0.1998
toxicology,26,20,6,3,36922,18312,1.0,Ridge(a=10),1.8597,-0.1087,0.118342,-0.198
toxicology,26,20,6,3,36922,18312,1.0,Lasso,2.0049,-0.244,0.118532,-0.1998
toxicology,26,20,6,3,36922,18312,1.0,RF,1.8855,-0.0528,0.118109,-0.1964
toxicology,26,20,6,3,36922,18312,1.0,GBM,2.1128,-0.2247,0.118227,-0.1981
