commit,label,model,train_n,test_n,test_fast,test_slow,f1_slow_mean,f1_slow_std,roc_auc_mean,roc_auc_std,acc_mean,acc_std,fit_time_mean_s,fit_time_std_s,predict_time_mean_s,total_time_mean_s
018ac87,minidev_refresh,Gradient Boosting,296,78,53,25,0.4000000000000001,0.0,0.5671698113207548,0.0,0.6538461538461539,0.0,0.15279346666648053,0.008530888689209764,0.001080000000608076,0.15473833333332246
018ac87,minidev_refresh,Logistic Regression,296,78,53,25,0.17647058823529413,0.0,0.4920754716981132,0.0,0.6410256410256411,0.0,0.010893599999690196,0.0033191484500422258,0.0012103333331954975,0.012854199999613533
018ac87,minidev_refresh,Random Forest,296,78,53,25,0.3181818181818182,0.0,0.5913207547169812,0.0,0.6153846153846154,0.0,0.2698441000005308,0.018533539010176434,0.05027466666797409,0.37514393333306845
018ac87,minidev_refresh,XGBoost,296,78,53,25,0.391304347826087,0.0,0.5441509433962264,0.0,0.6410256410256411,0.0,0.12016256666659804,0.01881525437894472,0.004003966666156582,0.12768226666836804
061f0ff,pre_codespace_backup,Gradient Boosting,251,69,46,23,0.6808510638297872,0.0,0.7967863894139886,0.0,0.782608695652174,0.0,0.13795296666770204,0.004154984120097298,0.00097749999986263,0.13966593333316268
061f0ff,pre_codespace_backup,Logistic Regression,251,69,46,23,0.4000000000000001,0.0,0.6824196597353498,0.0,0.6956521739130435,0.0,0.011075133331663286,0.003227552081986939,0.0009806666676013265,0.012820866667122269
061f0ff,pre_codespace_backup,Random Forest,251,69,46,23,0.6190476190476191,0.0,0.7329867674858224,0.0,0.7681159420289855,0.0,0.24767046666723522,0.007341350577568025,0.048860433333175024,0.3463480333327122
061f0ff,pre_codespace_backup,XGBoost,251,69,46,23,0.5217391304347826,0.0,0.7381852551984877,0.0,0.6811594202898551,0.0,0.10305039999972603,0.013118986961673016,0.0039204000010310365,0.10989473333271842
1a537e0,baseline_main,Gradient Boosting,252,68,46,22,0.39024390243902446,0.0,0.6521739130434783,0.0,0.6323529411764706,0.0,0.13924806666667186,0.0037799935157468412,0.0009439333334739786,0.14093976666723998
1a537e0,baseline_main,Logistic Regression,252,68,46,22,0.19354838709677416,0.0,0.5217391304347827,0.0,0.6323529411764706,0.0,0.01662726666715268,0.006440508808904566,0.001110799999878509,0.018523299999894032
1a537e0,baseline_main,Random Forest,252,68,46,22,0.42105263157894735,0.0,0.6571146245059288,0.0,0.676470588235294,0.0,0.2800003333310694,0.034043451481467916,0.06176509999932023,0.3945363333344479
1a537e0,baseline_main,XGBoost,252,68,46,22,0.4615384615384615,0.0,0.6324110671936759,0.0,0.6911764705882352,0.0,0.10956549999900744,0.003165827578719178,0.003991566665111653,0.1166263333337459
